class,annotationProperty,annotationValue
http://dpp.taltech.ee/EUDPP#Reliability,http://www.w3.org/2000/01/rdf-schema#comment,"Reliability
 is the ability of an item to perform its function under specified conditions over a given period.
 It is usually expressed in terms of mean time between failures (MTBF), which is the average length of time that a device will operate without failure."
http://dpp.taltech.ee/EUDPP#Reliability,http://www.w3.org/2000/01/rdf-schema#comment,"Reliability
means the probability that a product functions as required under given conditions for a given
duration without an occurrence which results in a primary or secondary function of the product no
longer being performed. (ESPR Art 2 (16))"
http://dpp.taltech.ee/EUDPP#Repair,http://www.w3.org/2000/01/rdf-schema#comment,Repair instructions. (ESPR Annex I (b))
http://dpp.taltech.ee/EUDPP#ResourceConsumption,,
http://dpp.taltech.ee/EUDPP#Reuse,http://www.w3.org/2000/01/rdf-schema#comment,Instructions for the reuse of the product.
http://dpp.taltech.ee/EUDPP#SafeUse,http://www.w3.org/2000/01/rdf-schema#comment,"Instructions for the safe use of the product. (ESPR Art 7 (5), (d))"
http://dpp.taltech.ee/EUDPP#SustainableRenewableMaterialsUse,,
http://dpp.taltech.ee/EUDPP#TechnicalSpecification,http://www.w3.org/2000/01/rdf-schema#comment,"means a document that prescribes technical requirements to
be fulfilled by a product, process or
service. (ESPR Art 2 (49))"
http://dpp.taltech.ee/EUDPP#Threshold,http://www.w3.org/2000/01/rdf-schema#comment,"Relevant threshold of Substance of Concern.

By default, information on all substances of concern present in a product, above the  relevant thresholds, should be included in the DPP [ESPR FAQ 10.115, p59]"
http://dpp.taltech.ee/EUDPP#Type,http://www.w3.org/2000/01/rdf-schema#comment,Any type that Thing can have.
http://dpp.taltech.ee/EUDPP#Volume,,
http://dpp.taltech.ee/EUDPP#WasteGenerationAmount,,
http://dpp.taltech.ee/EUDPP#WaterConsumption,,
http://dpp.taltech.ee/EUDPP#Weight,,
http://dpp.taltech.ee/EUDPP#Width,,
